"disp","delta","peak.resistant","peak.susceptible","peak.wasps","trough.resistant","trough.susceptible","trough.wasps","prop.delta","converge","peak.prop","trough.prop","eig"
0.12,33.1154519586923,1810.5051414274,2384.64990586716,4.0809445942105,1810.5051414274,2384.64990586716,4.0809445942105,0.961747887824563,TRUE,0.431570495253802,0.431570495253801,0.98866097065126+0.053220417390458i
0.12,42.5210820000628,1810.5051414274,2384.64990586716,4.0809445942105,1810.5051414274,2384.64990586716,4.0809445942105,0.969955004241575,FALSE,0.431570495253802,0.431570495253801,0.98866097065126+0.053220417390458i
0.12,54.5981500331442,1810.5051414274,2384.64990586716,4.0809445942105,1810.5051414274,2384.64990586716,4.0809445942105,0.976444384817319,FALSE,0.431570495253802,0.431570495253801,0.98866097065126+0.053220417390458i
0.12,70.1054123466879,1810.5051414274,2384.64990586716,4.0809445942105,1810.5051414274,2384.64990586716,4.0809445942105,0.981558780779082,FALSE,0.431570495253802,0.431570495253801,0.98866097065126+0.053220417390458i
0.12,90.0171313005218,1810.5051414274,2384.64990586716,4.0809445942105,1810.5051414274,2384.64990586716,4.0809445942105,0.985579138694055,FALSE,0.431570495253802,0.431570495253801,0.98866097065126+0.053220417390458i
0.12,115.584284527188,1810.5051414274,2384.64990586716,4.0809445942105,1810.5051414274,2384.64990586716,4.0809445942105,0.988733081768866,FALSE,0.431570495253802,0.431570495253801,0.98866097065126+0.053220417390458i
0.12,148.413159102577,1810.5051414274,2384.64990586716,4.0809445942105,1810.5051414274,2384.64990586716,4.0809445942105,0.99120339205788,FALSE,0.431570495253802,0.431570495253801,0.98866097065126+0.053220417390458i
0.13,0.00673794699908547,1805.5273714301,2370.48058016109,4.29659869982877,1805.5273714301,2370.48058016109,4.29659869982877,0.00510589784679486,FALSE,0.43235726376961,0.43235726376961,0.987379754711176+0.053716547625496i
0.13,0.00865169520312063,1805.5273714301,2370.48058016109,4.29659869982877,1805.5273714301,2370.48058016109,4.29659869982877,0.00654660868719287,FALSE,0.43235726376961,0.43235726376961,0.987379754711176+0.053716547625496i
0.13,0.0111089965382423,1805.5273714301,2370.48058016109,4.29659869982877,1805.5273714301,2370.48058016109,4.29659869982877,0.00839041079028594,FALSE,0.43235726376961,0.43235726376961,0.987379754711176+0.053716547625496i
0.13,0.0142642339089993,1805.5273714301,2370.48058016109,4.29659869982877,1805.5273714301,2370.48058016109,4.29659869982877,0.0107478875287376,FALSE,0.43235726376961,0.43235726376961,0.987379754711176+0.053716547625496i
0.13,0.0183156388887342,1805.5273714301,2370.48058016109,4.29659869982877,1805.5273714301,2370.48058016109,4.29659869982877,0.0137585603736113,FALSE,0.43235726376961,0.43235726376961,0.987379754711176+0.053716547625496i
0.13,0.0235177458560091,1805.5273714301,2370.48058016109,4.29659869982877,1805.5273714301,2370.48058016109,4.29659869982877,0.0175975737551436,FALSE,0.43235726376961,0.43235726376961,0.987379754711176+0.053716547625496i
0.13,0.0301973834223185,1805.5273714301,2370.48058016109,4.29659869982877,1805.5273714301,2370.48058016109,4.29659869982877,0.0224833566000715,FALSE,0.43235726376961,0.43235726376961,0.987379754711176+0.053716547625496i
0.13,0.038774207831722,1805.5273714301,2370.48058016109,4.29659869982877,1805.5273714301,2370.48058016109,4.29659869982877,0.0286860168773347,FALSE,0.43235726376961,0.43235726376961,0.987379754711176+0.053716547625496i
0.13,0.0497870683678639,1805.5273714301,2370.48058016109,4.29659869982877,1805.5273714301,2370.48058016109,4.29659869982877,0.0365358964424586,FALSE,0.43235726376961,0.43235726376961,0.987379754711176+0.053716547625496i
0.13,0.0639278612067076,1805.5273714301,2370.48058016109,4.29659869982877,1805.5273714301,2370.48058016109,4.29659869982877,0.0464311973973555,FALSE,0.43235726376961,0.43235726376961,0.987379754711176+0.053716547625496i
0.13,0.0820849986238988,1805.5273714301,2370.48058016109,4.29659869982877,1805.5273714301,2370.48058016109,4.29659869982877,0.0588428393919039,FALSE,0.43235726376961,0.43235726376961,0.987379754711176+0.053716547625496i
0.13,0.105399224561864,1805.5273714301,2370.48058016109,4.29659869982877,1805.5273714301,2370.48058016109,4.29659869982877,0.0743137066470597,FALSE,0.43235726376961,0.43235726376961,0.987379754711176+0.053716547625496i
0.13,0.135335283236613,1805.5273714301,2370.48058016109,4.29659869982877,1805.5273714301,2370.48058016109,4.29659869982877,0.0934482770877729,FALSE,0.43235726376961,0.43235726376961,0.987379754711176+0.053716547625496i
