Field,Date,Initials,Cycle,DISS_Initials,DISS_G_Unpara,DISS_G_Para,DISS_G_fungus,DISS_G_p+f,DISS_R_Unpara,DISS_R_Para,DISS_R_Fungus,DISS_R_p+f
349,6/8/17,SD,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
593,6/8/17,PU,2,PU,53,17,0,0,12,8,0,0
593,6/8/17,SD,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
593,6/8/17,PU,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
593,6/8/17,SD,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
593,6/8/17,PU,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
593,6/8/17,SD,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
744,6/8/17,PU,2,SD,62,5,3,0,13,1,0,0
744,6/8/17,SD,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
744,6/8/17,PU,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
744,6/8/17,SD,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
744,6/8/17,PU,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
744,6/8/17,SD,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
246,6/12/17,PU,2,SD,55,17,0,0,21,4,0,0
246,6/12/17,SD,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
246,6/12/17,PU,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
246,6/12/17,SD,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
246,6/12/17,PU,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
246,6/12/17,SD,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
310,6/12/17,PU,2,PU,35,37,0,0,15,11,0,0
310,6/12/17,SD,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
310,6/12/17,PU,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
310,6/12/17,SD,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
310,6/12/17,PU,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
310,6/12/17,SD,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
349,6/12/17,PU,2,PU,49,19,0,0,18,12,0,0
349,6/12/17,SD,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
349,6/12/17,PU,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
349,6/12/17,SD,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
349,6/12/17,PU,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
349,6/12/17,SD,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
593,6/12/17,PU,2,SD,55,28,0,0,9,2,0,0
593,6/12/17,SD,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
593,6/12/17,PU,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
593,6/12/17,SD,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
593,6/12/17,PU,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
593,6/12/17,SD,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
744,6/12/17,PU,2,PU,32,37,0,0,19,9,0,0
744,6/12/17,SD,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
744,6/12/17,PU,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
744,6/12/17,SD,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
744,6/12/17,PU,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
