treatment,rep,start_date,red_line,green_line,cage,date,observer,plant1_red,plant2_red,plant3_red,plant4_red,plant5_red,plant6_red,plant7_red,plant8_red,plant9_red,plant10_red,plant11_red,plant12_red,plant13_red,plant14_red,plant15_red,plant16_red,plant1_green,plant2_green,plant3_green,plant4_green,plant5_green,plant6_green,plant7_green,plant8_green,plant9_green,plant10_green,plant11_green,plant12_green,plant13_green,plant14_green,plant15_green,plant16_green,wasps,mummies,alates_total_red,alates_total_green,alates_in_red,alates_in_green,replaced_plants,wasps_rm,mumm_rm,notes
DISPERSAL,10,06/14/2021,WIA-5D,UT3,NO WASP,08/05/2021,CES,210,6,45,150,230,137,11,7,8,0,20,6,295,3,165,105,13,0,25,46,30,17,0,1,1,0,2,0,80,0,12,11,0,0,0,0,0,0,,,,
DISPERSAL,6,06/14/2021,WIA-5D,UT3,WASP,08/09/2021,KVB,12,2,17,2,0,3,0,8,0,0,1,1,2,3,1,11,66,30,17,39,0,35,2,58,0,1,2,89,49,25,38,3,0,2,0,0,1,0,"1,5,7,9",,,
DISPERSAL,6,06/14/2021,WIA-5D,UT3,NO WASP,08/09/2021,KVB,129,0,13,71,8,133,53,89,83,0,73,38,329,185,13,220,8,0,2,7,2,8,4,11,8,0,8,8,19,12,3,37,0,0,2,0,1,0,"2,3,5,8,10,12,15",,,
DISPERSAL,8,06/14/2021,WIA-5D,UT3,WASP,08/09/2021,KVB,0,3,52,6,29,3,0,44,16,10,0,12,2,3,37,0,0,0,0,21,4,0,0,0,5,1,6,0,0,0,0,0,2,0,0,0,1,1,3,,,
DISPERSAL,8,06/14/2021,WIA-5D,UT3,NO WASP,08/09/2021,KVB,58,13,48,0,1,14,0,0,6,71,83,3,5,119,36,24,16,4,4,0,1,1,0,0,1,5,9,8,0,20,13,4,0,0,2,1,1,0,"4,5,6,8,9,,12,13,16",,,
ISOLATED,9,06/14/2021,WIA-5D,UT3,WASP,08/09/2021,KVB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
ISOLATED,9,06/14/2021,WIA-5D,UT3,NO WASP,08/09/2021,KVB,23,3,0,0,0,163,117,56,15,0,42,165,15,0,182,245,4,1,0,0,0,5,5,4,2,0,4,5,3,0,3,8,0,0,,,,,"2,3,4,5,9,10,11,14",,,
DISPERSAL,10,06/14/2021,WIA-5D,UT3,WASP,08/09/2021,KVB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,12,,,
DISPERSAL,10,06/14/2021,WIA-5D,UT3,NO WASP,08/09/2021,KVB,190,63,210,10,111,24,107,398,60,0,146,68,64,182,62,60,12,6,21,5,4,4,6,44,2,0,14,3,14,26,11,10,0,0,0,0,0,0,"6,10,16",,,
DISPERSAL,6,06/14/2021,WIA-5D,UT3,WASP,08/12/2021,CES,0,7,27,2,0,1,0,0,1,3,2,1,1,6,3,14,3,50,25,62,2,18,1,0,6,6,7,96,87,89,75,11,0,2,0,0,0,0,,,,
DISPERSAL,6,06/14/2021,WIA-5D,UT3,WASP,08/16/2021,LAN,2,0,1,8,1,0,1,0,3,2,7,2,0,1,6,2,8,3,1,58,5,1,1,7,17,12,80,105,4,23,24,39,6,2,0,2,9,3,"3,8,13",5,,
DISPERSAL,6,06/14/2021,WIA-5D,UT3,WASP,08/19/2021,CES,0,0,7,3,0,0,0,1,3,0,1,0,0,1,0,4,5,0,17,73,2,0,1,0,15,23,83,26,4,24,0,36,2,1,1,1,12,2,15,1,,
DISPERSAL,6,06/14/2021,WIA-5D,UT3,NO WASP,08/12/2021,CES,130,22,52,33,145,21,160,67,0,55,125,135,495,0,92,5,18,7,3,11,37,0,29,3,0,0,12,32,45,0,47,2,0,0,0,0,0,0,,,,
DISPERSAL,6,06/14/2021,WIA-5D,UT3,NO WASP,08/16/2021,LAN,3,145,150,13,80,1,4,470,480,190,0,55,60,460,370,1,0,5,10,1,2,0,1,11,19,10,0,11,1,20,13,1,0,0,18,4,9,3,"1,4,6,7,11,16",,,
DISPERSAL,6,06/14/2021,WIA-5D,UT3,NO WASP,08/19/2021,CES,120,160,87,140,35,5,125,465,470,205,3,42,8,495,230,85,5,7,7,3,46,0,2,31,30,12,0,3,0,43,29,0,0,0,25,2,14,1,13,,,
DISPERSAL,8,06/14/2021,WIA-5D,UT3,WASP,08/12/2021,CES,1,21,13,2,7,68,0,120,33,28,14,56,47,12,88,13,1,1,0,28,2,1,0,0,3,0,6,0,4,0,10,0,0,1,0,0,0,0,"5,9,16",,,
DISPERSAL,8,06/14/2021,WIA-5D,UT3,WASP,08/16/2021,LAN,10,50,30,0,58,54,6,27,84,39,42,6,130,75,90,120,1,7,7,0,12,17,1,0,5,3,6,0,6,8,10,25,2,3,1,0,6,0,"4,8,12",1,,many fungus gnats
